        1024	N     381.64	S    1752.91	(  4.59)	N     362.49	S    1780.59	(  4.91)
       65536	N     383.57	S    1721.64	(  4.49)	N     365.30	S    2057.39	(  5.63)
      131072	N     383.37	S    1746.49	(  4.56)	N     364.96	S    2032.69	(  5.57)
      262144	N     382.78	S    1747.75	(  4.57)	N     364.98	S    1776.66	(  4.87)
      524288	N     377.37	S    1747.70	(  4.63)	N     359.53	S    1804.17	(  5.02)
     1048576	N     373.97	S    1661.49	(  4.44)	N     356.41	S    1787.75	(  5.02)
     2097152	N     378.96	S     980.24	(  2.59)	N     355.51	S    1544.01	(  4.34)
     3145728	N     379.37	S     938.54	(  2.47)	N     346.05	S    1171.77	(  3.39)
     4194304	N     380.58	S     879.86	(  2.31)	N     352.71	S    1128.35	(  3.20)
     5242880	N     377.33	S     870.96	(  2.31)	N     348.61	S    1128.35	(  3.24)
     6291456	N     378.22	S     847.31	(  2.24)	N     350.57	S    1091.34	(  3.11)
     7340032	N     376.69	S     837.77	(  2.22)	N     347.10	S    1083.14	(  3.12)
     8388608	N     379.48	S     833.60	(  2.20)	N     353.38	S    1105.03	(  3.13)
